number,name,address,bike_stands,available_bike_stands,available_bikes,latitude,longitude,last_update,status,ligne_tc
91,091-ROND POINT DE VANNES,"65, boulevard Lelasseur",18,11,4,47.2295806053692,-1.57211457799373,2023-06-19T14:36:29+00:00,OPEN,10 - 3
95,095-MICHELET,"50, boulevard Michelet",26,8,14,47.235158,-1.556322,2023-06-19T14:37:09+00:00,OPEN,10 - 2 - 23 - LC - LN
76,076-RENÉ BOUHIER,"8, place René Bouhier",15,11,2,47.2094290925244,-1.57051533628071,2023-06-19T14:36:24+00:00,OPEN,11
1,001-PRÉFECTURE,Place du Port Communeau,33,26,7,47.2198398196124,-1.55489134108209,2023-06-19T14:35:50+00:00,OPEN,12 - 2 - 23 - C2 - LO
80,080-VICTOR HUGO,"25, boulevard Victor Hugo - 28, boulevard Gustave Roch",15,5,10,47.2040032084911,-1.5515484848032,2023-06-19T14:35:35+00:00,OPEN,26
26,026-GUIST'HAU SUD,"30, boulevard Gabriel Guist'Hau - Rue Harouys",15,14,1,47.2168279599745,-1.56700452626517,2023-06-19T14:35:53+00:00,OPEN,26 - 54 - C6
52,052-BACO,"8, allée Baco",15,11,4,47.2143275245891,-1.54875055574198,2023-06-19T14:36:13+00:00,OPEN,54 - C2 - C3 - LS
101,101-PIRMIL,"13, rue Esnoul des Châtelets",28,15,13,47.1965313642396,-1.54156809120326,2023-06-19T14:36:53+00:00,OPEN,118 - 152 - 162 - 162 - 2 - 27 - 27 - 28 - 28 - 3 - 36 - 38 - C4 - C9 - C9 - E8 - VL
36,036-ALGER,"10, rue d'Alger",15,12,3,47.210549,-1.567368,2023-06-19T14:36:17+00:00,OPEN,
6,006-PLACE DU CIRQUE,"7, allée Duquesne",21,11,10,47.217596682406,-1.55693764537887,2023-06-19T14:37:08+00:00,OPEN,11 - 12 - 2 - 23 - 23 - C1 - C2 - C2 - C6 - LC - LN - LO - LO
97,097-SAINT DONATIEN,Place du 51ème Régiment d'Artillerie,20,19,0,47.2290880870929,-1.54029259428922,2023-04-28T06:59:01+00:00,CLOSED,
22,022-MOQUECHIEN,"8, rue Moquechien - 17, allée des Tanneurs",20,18,0,47.220392126692,-1.55553104193626,2022-07-08T06:59:34+00:00,OPEN,
92,092-ROND POINT DE RENNES,Angle boulevard Lelasseur - Rue Paul Bellamy,14,7,7,47.2330281847759,-1.56605906933562,2023-06-19T14:27:21+00:00,OPEN,10 - 12 - 23 - 26 - C2 - LO
10,010- PICASSO,"12, mail Pablo Picasso",40,15,25,47.216207,-1.533796,2023-06-19T14:30:29+00:00,OPEN,
58,058-PALAIS DES SPORTS,"8,rue André Tardieu",15,3,12,47.208465,-1.536657,2023-06-19T14:30:11+00:00,OPEN,
109,109-CLOS TOREAU,"Face 31, boulevard Emile Gabory",21,10,11,47.19426,-1.529313,2023-06-19T14:31:07+00:00,OPEN,4
30,030-COMMERCE,Place du Commerce - Cours Franklin Roosevelt,33,21,12,47.2138876911855,-1.5555053519911,2023-06-19T14:30:04+00:00,OPEN,1 - 11 - 2 - 22 - 22 - 26 - 3 - 54 - C2 - C3 - LC - LN - LO
108,108-BONNE GARDE,"Face 97, rue Bonne Garde",24,14,10,47.197217,-1.532105,2023-06-19T14:30:05+00:00,OPEN,4
29,029-DUGUAY TROUIN,"18, allée Duguay Trouin",26,22,4,47.2126959612969,-1.55730644460216,2023-06-19T14:30:30+00:00,OPEN,1 - NA
119,119-ZOLA,Place Emile Zola,25,15,10,47.213859,-1.586108,2023-06-19T14:31:05+00:00,OPEN,10 - 11 - 23
125,125-PLACIS,Avenue de la Martellière - SAINT-SÉBASTIEN-SUR-LOIRE,18,10,8,47.199378,-1.520481,2023-06-19T14:30:07+00:00,OPEN,102 - 27 - 28
100,100-GRÉNERAIE,Parc de la Gréneraie - NANTES,20,10,10,47.1999230929052,-1.53471754047048,2023-06-19T14:30:04+00:00,OPEN,36 - 38 - 4 - C4 - E8 - VL
14,014-SAINT FÉLIX,"35, Boulevard Amiral Courbet",14,4,10,47.230334,-1.556133,2023-06-19T14:29:34+00:00,OPEN,
94,094-PETIT PORT,Boulevard du Petit Port - place du 8 mai 1945,20,5,15,47.2432639149755,-1.55634461016798,2023-06-19T14:28:46+00:00,OPEN,26 - C20
67,067-WALDECK ROUSSEAU,Place Waldeck Rousseau - Pont Général de la Motte Rouge,22,10,12,47.2277747610651,-1.55214798607222,2023-06-19T14:27:28+00:00,OPEN,
23,023-BUAT,"118, rue de Coulmiers",11,0,11,47.2271454682246,-1.5424047412504,2023-06-19T14:28:06+00:00,OPEN,C1
12,012-DELORME,"1, boulevard Gabriel Guist'Hau - Place Delorme",20,20,0,47.2151581886857,-1.56390067346586,2023-06-19T14:28:24+00:00,OPEN,23 - 26 - 54 - C1 - C3 - C6
98,098-HUIT MAI,Avenue de la Libération - rue Eugène Pottier - REZÉ,15,9,6,47.189212047513,-1.55082803645635,2023-06-19T14:27:44+00:00,OPEN,2 - 3 - 38 - 97
63,063-JARDIN DES PLANTES,Rue Stanislas Baudry  - face rue Georges Clémenceau,15,15,0,47.219834197319,-1.54471896453159,2023-06-19T14:27:56+00:00,OPEN,11 - 12
33,033-RACINE,"5, rue Racine",15,11,4,47.2135226137199,-1.5631408744314,2023-06-19T14:27:54+00:00,OPEN,
68,068-LIVET,"65, rue Dufour",15,6,9,47.2240678794875,-1.54521243421509,2023-06-19T14:28:14+00:00,OPEN,C1 - LN
69,069-MANUFACTURE,"11 bis, boulevard Stalingrad",15,8,7,47.2192163807113,-1.53584744327638,2023-06-19T14:28:41+00:00,OPEN,
40,040-MADELEINE,Quai Moncousu - Pont Général Audibert,21,7,14,47.2088046424378,-1.55041191411915,2023-06-19T14:33:30+00:00,OPEN,2 - 3 - LC
42,042-GARE MARITIME,Quai Ernest Renaud - Place Jacksonville,28,16,11,47.2065977289879,-1.5726102869705,2023-06-19T14:34:19+00:00,OPEN,1 - 81 - C20 - E1 - LO - LU - N1
46,046-RÉPUBLIQUE,"3, place de la République",26,17,9,47.2053240902952,-1.55518310791618,2023-06-19T14:34:25+00:00,OPEN,26 - 5 - LN - LO - LS
25,025-DALBY,"61, boulevard Ernest Dalby",15,4,11,47.223508869812,-1.52995959270347,2023-06-19T14:34:02+00:00,OPEN,
39,039-QUAI MONCOUSU,"1, quai Moncousu - Pont Haudaudine",24,5,19,47.2094065738737,-1.55523314463147,2023-06-19T14:34:25+00:00,OPEN,26 - LN - LO - LS
16,016-ÉDOUARD NORMAND,"Face au 7, place Edouard Normand",15,13,2,47.2190275447384,-1.56341948405375,2023-06-19T14:35:14+00:00,OPEN,
