stop_id,stop_name,stop_lat,stop_lon,ligne
BIGN,Bignons,47.19981789,-1.49340125,"[{'numLigne': '102'}, {'numLigne': '27'}]"
BILE,Basse Ile,47.19567263,-1.56326908,"[{'numLigne': '36'}, {'numLigne': 'LS'}]"
BIND,Basse Indre,47.19786018,-1.67271604,"[{'numLigne': '50'}, {'numLigne': '81'}, {'numLigne': 'NBI'}]"
BIOT,Bigeottière,47.25591197,-1.61925685,"[{'numLigne': '119'}, {'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '189'}, {'numLigne': '89'}]"
BJLI,Bois Jaulin,47.17757559,-1.63685031,[{'numLigne': '78'}]
BJOI,Beaujoire,47.25884014,-1.52488181,"[{'numLigne': '1'}, {'numLigne': '115'}, {'numLigne': '1B'}, {'numLigne': '75'}, {'numLigne': 'C6'}, {'numLigne': 'LC'}]"
BLAV,Balavoine,47.30648713,-1.55427932,"[{'numLigne': '116'}, {'numLigne': '126'}, {'numLigne': '86'}]"
BLCH,Blancho,47.21355413,-1.73377668,"[{'numLigne': '91'}, {'numLigne': 'E1'}]"
BLDR,Boulodrome,47.25763488,-1.51513767,"[{'numLigne': '1B'}, {'numLigne': '77'}]"
BLEM,Belem,47.26563709,-1.45300144,"[{'numLigne': '117'}, {'numLigne': '135'}, {'numLigne': '157'}, {'numLigne': '87'}]"
BLGO,Berligout,47.21576179,-1.67855238,[{'numLigne': '91'}]
BLL9,Bellestre,47.14846357,-1.69436915,[{'numLigne': '108'}]
BLLE,Bellestre,47.14793376,-1.69406522,"[{'numLigne': '108'}, {'numLigne': '88'}]"
BLNO,Bois de La Noé,47.14178867,-1.67142407,[{'numLigne': '88'}]
BLOR,Blordière,47.17991242,-1.53385179,[{'numLigne': '97'}]
BLSL,Bellevue,47.23541838,-1.47360365,[{'numLigne': '80'}]
BLUA,Bélouga,47.165802,-1.58354505,[{'numLigne': '38'}]
BLVU,Mendès-France-Bellevue,47.20852569,-1.61165603,"[{'numLigne': '1'}, {'numLigne': '131'}, {'numLigne': '1B'}, {'numLigne': '23'}, {'numLigne': '40'}, {'numLigne': '59'}, {'numLigne': '81'}, {'numLigne': '91'}, {'numLigne': 'C20'}]"
BLZZ,Berlioz,47.23970226,-1.57163772,"[{'numLigne': '12'}, {'numLigne': 'C2'}, {'numLigne': 'LO'}]"
BNCH,Blanchetière,47.28986239,-1.55584836,"[{'numLigne': '116'}, {'numLigne': '126'}, {'numLigne': '86'}, {'numLigne': '96'}, {'numLigne': 'LCE'}]"
BNDA,Brindais,47.1389786,-1.71820971,"[{'numLigne': '108'}, {'numLigne': '98'}]"
BNET,Bignonnet,47.17553725,-1.46511578,"[{'numLigne': '42'}, {'numLigne': 'E4'}]"
BNIE,Bournière,47.25439588,-1.45524697,"[{'numLigne': '107'}, {'numLigne': '147'}]"
BNLU,Bénélux,47.25411511,-1.49914288,"[{'numLigne': '127'}, {'numLigne': '147'}, {'numLigne': '157'}, {'numLigne': '80'}, {'numLigne': '87'}]"
BNNO,Bernanos,47.20648589,-1.6133559,"[{'numLigne': '131'}, {'numLigne': '40'}, {'numLigne': 'C20'}]"
BNON,Bignon,47.24908296,-1.59771985,"[{'numLigne': '3'}, {'numLigne': '3B'}]"
BNTA,BN,47.18431325,-1.49651937,"[{'numLigne': '102'}, {'numLigne': '28'}]"
BNVI,Bonneville,47.24386466,-1.53636465,[{'numLigne': '23'}]
BOCE,Centre de Bouguenais,47.17931447,-1.62297628,[{'numLigne': '36'}]
BODO,Bourdonnières,47.18636958,-1.52205853,"[{'numLigne': '172'}, {'numLigne': '30'}, {'numLigne': '4'}, {'numLigne': '42'}, {'numLigne': 'LS'}]"
BOFA,Bouffay,47.2146087,-1.55195955,[{'numLigne': '1'}]
BOGE,Bourgeonnière,47.25293409,-1.56122882,"[{'numLigne': '116'}, {'numLigne': '2'}, {'numLigne': '26'}, {'numLigne': '2B'}, {'numLigne': '86'}]"
